applesauce,Gustatory,4.111
appliance,Visual,3.941
applicant,Visual,3.833
appointer,Visual,3.846
appraisal,Visual,3.812
appreciable,Interoceptive,2
appreciably,Auditory,2.278
appreciate,Interoceptive,3.176
appreciation,Interoceptive,2.889
appreciative,Auditory,3
appreciatively,Auditory,2.8
appreciativeness,Auditory,3.059
apprehensibility,Interoceptive,3.467
apprehensible,Interoceptive,2.118
apprehension,Interoceptive,3.211
apprehensive,Interoceptive,4.105
apprehensively,Interoceptive,2.143
apprehensiveness,Interoceptive,3.389
approachableness,Visual,3.611
approaching,Visual,4.412
appropriateness,Auditory,2.389
approval,Auditory,2.421
approvingly,Auditory,2.286
apricot,Gustatory,4.125
apron,Visual,4.053
aquamarine,Visual,3.684
aquarium,Visual,4
aquatic,Visual,4.235
aquifer,Visual,3.727
arabic,Auditory,3.412
arachnid,Visual,3.938
arachnophobia,Interoceptive,3.824
arbitrariness,Auditory,2.25
arbitrate,Auditory,3.267
arbitration,Auditory,3
arbitrator,Auditory,3.143
arbor,Visual,3.6
arc,Visual,3.688
arcade,Visual,4.562
arch,Visual,3.765
archduchess,Visual,3.643
arched,Visual,4.375
archery,Visual,4
arches,Visual,4.333
arching,Visual,4.167
archipelago,Visual,4.643
architectural,Visual,4.375
architecturally,Visual,4.077
architecture,Visual,4.8
archives,Visual,3.611
archway,Visual,4.533
ardent,Interoceptive,1.611
ardently,Interoceptive,1.857
area,Visual,3.619
arena,Visual,4.167
areola,Visual,4.067
arguable,Auditory,2.5
arguably,Auditory,2.5
argue,Auditory,4.059
arguer,Auditory,3.706
argument,Auditory,4
argumentation,Auditory,3.421
argumentative,Auditory,3.778
argumentatively,Auditory,3.722
argumentativeness,Auditory,3.562
aridity,Haptic,2.917
aridness,Haptic,1.929
arise,Interoceptive,1.865
arisen,Visual,3.625
arithmetic,Visual,4.056
ark,Visual,3.789
arm,Haptic,3.939
armadillo,Visual,4.067
armband,Haptic,4.167
armchair,Visual,4.579
armed,Visual,3.75
armed forces,Visual,4
armed services,Visual,4.053
armful,Haptic,3.421
arming,Visual,3.6
armless,Visual,4.059
armload,Haptic,3.895
armoire,Visual,4.231
armor,Visual,3.941
armored,Visual,4.211
armored car,Visual,4.588
armored vehicle,Visual,4.353
armrest,Haptic,3.684
arms,Visual,4.579
army base,Visual,4.188
army officer,Visual,4.111
aroma,Olfactory,4.895
aromatherapy,Olfactory,4.722
aromatic,Olfactory,4.889
aromatically,Olfactory,4.722
aromatization,Olfactory,4.917
aromatize,Olfactory,4.111
arousal,Interoceptive,4.625
arouse,Interoceptive,4.158
arouser,Interoceptive,3.529
arraignment,Auditory,2.353
array,Visual,3.708
arrest,Visual,4.333
arrest warrant,Visual,4.05
arrestee,Visual,3.615
arrestingly,Interoceptive,2.583
arrhythmia,Interoceptive,2.933
arrhythmic,Auditory,2.917
arrival,Visual,3.85
arrogance,Auditory,3.647
arrogant,Auditory,3.636
arrogantly,Auditory,3.125
arrow,Visual,4.111
arsenal,Visual,3.882
arsenic,Interoceptive,2.75
art,Visual,4.629
art deco,Visual,4.526
art exhibition,Visual,4.842
art gallery,Visual,4.765
artbook,Visual,4.562
artful,Visual,4.143
artfully,Visual,3.762
arthritic,Interoceptive,3.688
arthritis,Interoceptive,3.278
artichoke,Gustatory,3.529
article,Visual,3.947
articulate,Auditory,3.211
articulated,Auditory,3.486
articulately,Auditory,3.688
articulateness,Auditory,3.929
articulation,Auditory,3.647
artifact,Visual,4
artificialness,Visual,4.053
artisan,Visual,4.143
artisanship,Visual,3.8
artist,Visual,4.294
artistic,Visual,3.857
artistically,Visual,3.722
artistry,Visual,4.133
artwork,Visual,4.688
arugula,Gustatory,3.556
ascent,Visual,3.6
ascertain,Auditory,2.214
ascertainably,Auditory,2.364
asexual,Interoceptive,2.125
asexualize,Interoceptive,2.1
asexually,Interoceptive,2.133
ash,Visual,4.19
ashamed,Interoceptive,3.647
ashamedness,Interoceptive,3.48
ashcan,Visual,4.207
ashen,Visual,4
ashes,Visual,4.056
ashore,Visual,3.625
ashtray,Visual,3.8
asinine,Auditory,2.714
ask,Auditory,3.733
asker,Auditory,3.667
askew,Visual,4.214
asleep,Interoceptive,3.158
asparagus,Gustatory,4.6
aspartame,Gustatory,4.714
aspen,Visual,4.286
asphalt,Visual,3.8
asphyxia,Interoceptive,2.706
asphyxiate,Interoceptive,3.286
asphyxiation,Interoceptive,3.375
aspirate,Interoceptive,2.692
aspiration,Interoceptive,2.118
aspire,Interoceptive,1.722
aspirer,Interoceptive,1.75
aspirin,Gustatory,2.944
aspiring,Interoceptive,2.524
ass,Visual,3.833
assassinate,Visual,3.737
assassination,Visual,4.312
assault,Visual,3.8
assembly,Visual,3.636
assembly line,Visual,4
asserter,Auditory,2.133
assertive,Auditory,2.7
assertively,Auditory,3.2
assessment,Auditory,2.684
asshole,Visual,3.765
assister,Visual,3.765
associability,Interoceptive,1.467
assorted,Visual,3.75
assortment,Visual,3.765
assumer,Auditory,3.176
assumption,Auditory,2.4
assumptive,Auditory,2.833
assurance,Interoceptive,2.176
assured,Interoceptive,2.7
assuring,Auditory,3.75
asterisk,Visual,3.944
asteroid,Visual,3.941
asthma,Interoceptive,3.474
asthmatic,Interoceptive,4.467
asthmatically,Interoceptive,2.562
astonishment,Interoceptive,3.611
astound,Interoceptive,2.667
astounded,Interoceptive,3.882
astoundingly,Interoceptive,2.1
astringency,Olfactory,1.533
astronaut,Visual,4.65
astronomically,Visual,4.133
astronomy,Visual,4.579
astrophotography,Visual,4.071
astrophysicist,Visual,4
astutely,Auditory,2.5
asymmetric,Visual,4.333
asymmetrical,Visual,4.118
asymmetrically,Visual,4.176
asymmetry,Visual,4.444
ate,Gustatory,3.188
atheism,Interoceptive,2.053
atheist,Auditory,2.722
athlete,Visual,3.632
athleticism,Visual,3.647
athletics,Visual,3.944
atlas,Visual,4.312
atmospheric,Interoceptive,1.889
atom bomb,Visual,4.312
atone,Interoceptive,2.133
atonement,Auditory,2.5
atop,Visual,3.684
atrocity,Visual,3.8
atrophy,Interoceptive,2.636
attachable,Visual,3.789
attack,Visual,3.727
attendance,Visual,3.667
attendant,Visual,4.176
